procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  49500  11356 274892    0    0  5387     0  390  978  3 14 83  0  0
 0  0      0  49376  11356 274884    0    0     0     0  256  139  2  0 98  0  0
12  0      0  47888  11640 275992    0    0   881     0  431 1052 33  4 63  0  0
 0  0      0  47120  11800 276752    0    0   384     0  462 2043 59  6 35  0  0
 0  0      0  55712  11800 276752    0    0     0     0  387 2003  3  0 97  0  0
 0  0      0  55712  11800 276752    0    0     0     0  459 4773  8  3 89  0  0
 0  0      0  55696  11800 276752    0    0     0     0  528 1862  2  1 97  0  0
 0  0      0  51108  11800 276752    0    0     0     0  413 2414  5  2 93  0  0
 0  0      0  51100  11800 276752    0    0     0     0  532 1976  1  1 98  0  0
 0  0      0  51108  11800 276752    0    0     0     0  449 1961  4  2 94  0  0
 0  0      0  51108  11800 276752    0    0     0     0  445 1146  0  1 99  0  0
 0  0      0  51108  11800 276752    0    0     0     0  568 2107  1  1 98  0  0
 1  0      0  51108  11800 276752    0    0     0     0  262  148  9  0 91  0  0
 9  0      0  51108  11800 276752    0    0     0     0  337  700 54  0 46  0  0
 1  0      0  51108  11800 276752    0    0     0     0  306  487 30  1 69  0  0
 0  0      0  48272  12252 278892    0    0  1389     0  305 1096  2  5 89  3  0
 0  0      0  48272  12252 278892    0    0     0     0  656 2330  2  2 96  0  0
 0  0      0  56392   8644 274356    0    0  1816     0  493 1845  2  8 90  0  0
 0  0      0  56392   8644 274356    0    0     0     0  482 1517  2  1 97  0  0
 0  0      0  52548   9260 277624    0    0  2138     0  419 1128  2  9 89  0  0
 0  0      0  52548   9260 277652    0    0     0     0  405 1087  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  52548   9260 277652    0    0     0     0  325  571  2  0 98  0  0
 0  0      0  52548   9260 277652    0    0     0     0  256  142  1  1 98  0  0
 1  0      0  52548   9260 277652    0    0     0     0  419 1191 20  0 80  0  0
 0  0      0  52548   9260 277652    0    0     0     0  317  806 70  0 30  0  0
 1  0      0  52548   9260 277652    0    0     0     0  561 1693  1  0 99  0  0
 0  0      0  52548   9260 277652    0    0     0     0  485 2728  2  2 96  0  0
 0  0      0  50564   9260 277652    0    0     0     0  342 2393  6  2 92  0  0
 1  0      0  50564   9260 277652    0    0     0     0  340  753  1  0 99  0  0
 0  0      0  50564   9260 277652    0    0     0     0  395 1046  2  1 97  0  0
 0  0      0  50540   9260 277652    0    0     0     0  389 2071  2  1 97  0  0
 0  0      0  50564   9260 277652    0    0     0     0  548 2088  0  2 98  0  0
 0  0      0  50540   9260 277652    0    0     0     0  496 2755  2  0 98  0  0
 0  0      0  50564   9260 277652    0    0     0     0  425 1824 15  1 84  0  0
 9  0      0  50564   9260 277652    0    0     0     0  554 1578 24  1 75  0  0
 0  0      0  50564   9260 277652    0    0     0     0  392 1866 57  2 41  0  0
 0  0      0  50564   9260 277652    0    0     0     0  408 2743  5  2 93  0  0
 0  0      0  50540   9260 277652    0    0     0     0  545 3198  3  2 95  0  0
 0  0      0  50540   9260 277652    0    0     0     0  452 1758  3  0 97  0  0
 0  0      0  50316   9308 277832    0    0   167     0  588 2001  3  3 94  0  0
 0  0      0  50316   9308 277832    0    0     0     0  259  154  2  0 98  0  0
 0  0      0  50316   9308 277832    0    0     0     0  253  132  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  50316   9308 277832    0    0     0     0  254  137  2  0 98  0  0
 0  0      0  50316   9308 277832    0    0     0     0  263  132 15  1 84  0  0
 0  0      0  50316   9308 277832    0    0     0     0  262  140  6  0 94  0  0
 9  0      0  50316   9308 277836    0    0     0     0  288  248 49  0 51  0  0
 0  0      0  50316   9308 277836    0    0     0     0  263  178 17  0 83  0  0
 1  0      0  50316   9308 277836    0    0     0     0  253  135  1  0 99  0  0
 0  0      0  50316   9308 277836    0    0     0     0  256  138  1  1 98  0  0
 0  0      0  50316   9308 277836    0    0     0     0  253  131  2  0 98  0  0
 0  0      0  50316   9308 277836    0    0     0     0  255  137  1  0 99  0  0
 0  0      0  50316   9308 277836    0    0     0     0  252  128  1  0 99  0  0
 0  0      0  50316   9308 277836    0    0     0     0  258  144  2  2 96  0  0
 0  0      0  50316   9308 277836    0    0     0     0  256  130 16  0 84  0  0
 0  0      0  50316   9308 277836    0    0     0     0  260  137  9  0 90  1  0
 0  0      0  50316   9308 277836    0    0     0     0  253  135  1  0 99  0  0
 1  0      0  50316   9308 277836    0    0     0     0  292  299 65  0 35  0  0
 0  0      0  50316   9308 277836    0    0     0     0  253  128  1  1 98  0  0
 0  0      0  50316   9308 277836    0    0     0     0  256  136  1  0 99  0  0
 0  0      0  50316   9308 277836    0    0     0     0  254  130  2  0 98  0  0
 0  0      0  50316   9308 277836    0    0     0     0  255  141  0  0 100  0  0
 0  0      0  50316   9308 277836    0    0     0     0  252  131  2  0 98  0  0
 0  0      0  50316   9308 277836    0    0     0     0  256  138  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  50316   9308 277836    0    0     0     0  259  133 15  0 85  0  0
 0  0      0  50316   9308 277836    0    0     0     0  258  141  9  0 91  0  0
 0  0      0  50316   9308 277836    0    0     0     0  250  134  2  0 98  0  0
 9  0      0  50316   9308 277836    0    0     0     0  279  204 36  0 64  0  0
 0  0      0  50316   9308 277836    0    0     0     0  262  197 33  1 66  0  0
