procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  63616  19244 292536    0    0  4098     0  364  805  2 11 87  0  0
 0  0      0  63484  19244 292548    0    0     0     0  621 3461  3  1 96  0  0
 0  0      0  63492  19244 292548    0    0     0     0  431 1845  1  1 98  0  0
13  0      0  39844   1504 245492    0    0  5433     0  500 1361 69 14 13  4  0
 4  0      0  38000   2104 248896    0    0 39881     0 1126 5236  1 82  0 17  0
 1  0      0  37756   2168 249072    0    0 45812     0 1240 6716  0 95  0  5  0
 1  2      0  39472   1892 247420    0    0 47432     0 1224 6872  0 95  0  5  0
 0  2      0  43204   1112 244736    0    0 41608     0 1069 5043  0 88  0 12  0
 4  1      0  41116   1652 246312    0    0 46296     0 1212 6625  0 97  0  3  0
 3  0      0  42084   1376 245488    0    0 48028     0 1257 6666  0 98  0  2  0
 2  0      0  38032   2228 248856    0    0 40129     0 1069 5515  0 96  0  4  0
 2  0      0  43044   1196 244772    0    0 52123     0 1330 6700  0 98  0  2  0
15  0      0  40332   1652 246368    0    0 24147     0  850 3335 58 41  0  1  0
 1  0      0  40688   1736 246544    0    0 47910     0 1274 6825  2 95  0  2  0
 1  0      0  37764   2224 248896    0    0 42736     0 1078 5230  0 98  0  2  0
 1  1      0  41192   1664 246332    0    0 45741     0 1196 5652  0 98  0  2  0
 3  0      0  40204   1796 247016    0    0 46000     0 1151 5585  0 99  0  1  0
 3  0      0  41612   1516 245872    0    0 44688     0 1158 5976  0 99  0  1  0
 2  0      0  43648   1088 244220    0    0 46180     0 1184 5832  1 97  0  2  0
 2  0      0  40268   1884 246780    0    0 48110     0 1206 5933  0 98  0  3  0
 3  0      0  39160   2044 247884    0    0 44370     0 1177 6766  0 97  0  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0  43436   1288 244232    0    0 29752     0  997 4576 44 53  0  3  0
 2  0      0  38640   2056 248328    0    0 41650     0 1145 5856 19 78  0  3  0
 4  0      0  39008   1972 248024    0    0 52036     0 1347 6859  0 98  0  2  0
 2  2      0  39180   1936 247788    0    0 56150     0 1269 7004  0 99  0  1  0
 1  0      0  39668   1900 247364    0    0 58671     0 1692 9003  1 98  0  2  0
 0  2      0  41912   1472 245500    0    0 48095     0 1245 6627  0 99  0  1  0
 1  0      0  40368   1724 246880    0    0 40777     0 1064 5883  0 98  0  2  0
 1  1      0  40596   1672 246608    0    0 46783     0 1187 6433  0 98  0  2  0
10  2      0  37424   2200 249068    0    0 61098     0 1509 8265  8 91  0  1  0
 3  0      0  41276   1564 246136    0    0 48801     0 1312 6786 42 57  0  1  0
 5  1      0  41328   1612 246008    0    0 71879     0 2120 12062  0 98  0  2  0
 4  0      0  38212   2096 248624    0    0 47607     0 1199 6492  0 98  0  2  0
 2  0      0  37744   2128 249096    0    0 53143     0 1149 6093  0 97  0  3  0
 4  0      0  40388   1660 246952    0    0 56822     0 1641 8964  1 97  0  2  0
 1  0      0  39668   1944 247444    0    0 47802     0 1224 6061  0 98  0  2  0
 1  1      0  39944   1808 247156    0    0 51547     0 1329 5932  0 97  0  3  0
15  0      0  41044   1440 246080    0    0 36311     0 1191 5316 47 52  0  1  0
 1  0      0  42400   1440 245212    0    0 46821     0 1210 5983  3 95  0  2  0
 2  0      0  39016   2028 248004    0    0 47583     0 1257 5934  0 99  0  1  0
 0  2      0  40200   1768 247036    0    0 49133     0 1252 6408  0 98  0  2  0
 3  0      0  41572   1516 246108    0    0 46317     0 1170 5894  0 98  0  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0  39292   2032 247704    0    0 46184     0 1146 5650  0 98  0  2  0
 3  1      0  40016   1772 246996    0    0 49741     0 1231 6793  0 99  0  1  0
 4  0      0  39080   1864 247916    0    0 50219     0 1303 7023  0 98  0  2  0
 1  0      0  41928   1520 245612    0    0 49096     0 1248 6776  0 98  0  2  0
12  0      0  42792   1176 244500    0    0 32152     0 1040 4010 53 46  0  1  0
 1  0      0  39532   1976 247380    0    0 41732     0 1162 6122  4 95  0  1  0
 1  0      0  38144   2236 248604    0    0 41714     0 1131 5813  0 95  0  5  0
 2  0      0  37948   2252 248908    0    0 40487     0 1104 5493  0 99  0  1  0
 1  0      0  39340   1876 247664    0    0 53213     0 1374 6889  0 98  0  2  0
 1  2      0  41808   1336 245760    0    0 50681     0 1307 7501  0 97  0  3  0
 0  2      0  49292    144 239324    0    0 76571     0 1826 10164  0 98  0  2  0
 4  1      0  38112   2120 248728    0    0 85174     0 1928 11130  0 98  0  2  0
 2  0      0  41980   1308 245116    0    0 33247     0 1579 8794 43 56  0  1  0
 0  2      0  38532   2004 248372    0    0 47221     0 1201 6987  1 97  0  2  0
 3  1      0  39064   2116 247884    0    0 43319     0 1178 6111  0 98  0  2  0
 1  0      0  41140   1640 246312    0    0 46422     0 1179 5848  0 99  0  1  0
 2  3      0  39184   1876 247764    0    0 59103     0 1260 6557  0 98  0  2  0
 1  0      0  43988   1132 243808    0    0 56786     0 1725 9346  0 99  0  1  0
 2  1      0  40000   1788 247248    0    0 47545     0 1175 5836  0 98  0  2  0
