procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  62072  14920 302224    0    0  5769     0  398 1039  3 15 81  0  0
 0  0      0  60568  14920 302216    0    0     0     0  495 3037  4  0 96  0  0
 0  3      0  40128    636 244480    0    0 705571     0 4300 31812 33 63  4  0  0
 1  2      0  38716    944 245848    0    0 272965     0 23332 195825  9 90  0  2  0
 5  0      0  39452    760 245600    0    0 545867     0 9139 80057 19 79  0  1  0
 2  1      0  38508    940 246044    0    0 570001     0 17833 160121 13 86  0  1  0
 2  0      0  39872    700 244924    0    0 373148     0 16158 148984 17 82  0  1  0
 2  2      0  40624    564 243912    0    0 651448     0 13525 126962 14 85  0  1  0
 6  3      0  39716    708 245104    0    0 753893     0 11873 112789 12 86  0  2  0
 4  1      0  43244    104 241704    0    0 878781     0 28110 285870 14 85  0  1  0
17  3      0  37820   1112 246732    0    0 299957     0 19647 192051 12 86  0  1  0
 1  4      0  42424    452 242380    0    0 436373     0 12587 120955 15 84  0  1  0
 2  2      0  37520   1180 246792    0    0 393553     0 6666 60725 17 81  0  1  0
 2  2      0  41488    404 243420    0    0 408998     0 11762 106711 16 83  0  1  0
 6  2      0  39688    648 245140    0    0 472010     0 10723 95813 10 88  0  1  0
 0  4      0  39200    740 245208    0    0 386757     0 16993 155850 15 83  0  1  0
 3  0      0  39180    856 245800    0    0 367252     0 8674 77001 11 87  0  1  0
 4  3      0  43624     92 241896    0    0 202890     0 8540 73291 18 81  0  1  0
 3  1      0  39364    900 245464    0    0 428699     0 10130 90575 13 86  0  1  0
 1  0      0  38172   1028 246240    0    0 294856     0 8361 72823 14 85  0  1  0
 0  2      0  38484    944 245756    0    0 500198     0 13225 118898 14 85  0  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  39632   1228 244336    0    0 340058     0 11501 97202 16 83  0  1  0
 4  0      0  39292   2260 252036    0    0 178879     0 6440 56043 15 84  0  1  0
 5  2      0  39396   2136 252120    0    0 74302     0 2180 16733 18 81  0  1  0
17  0      0  40680   3492 257440    0    0 41505     0 1518 11483 15 84  0  1  0
 2  0      0  56316   3324 250644    0    0 39076     0 1131 5962 14 84  0  2  0
 5  2      0  48336   4224 257604    0    0 32886     0  987 4707 10 89  0  1  0
 1  0      0  56680   4640 256816    0    0 23547     0  827 4257  3 78 18  1  0
 0  0      0  58560   4592 254996    0    0     0     0  253  148  0  0 100  0  0
 0  0      0  58544   4592 254996    0    0     0     0  255  148  2  0 98  0  0
 0  0      0  85504   5400 259140    0    0  3004     0  323  511 15  7 78  0  0
 0  0      0 109392   5400 259180    0    0     0     0  260  181  2  1 97  0  0
 0  0      0 117428   5400 259184    0    0     0     0  253  155  1  0 99  0  0
 0  0      0 133384   5400 259188    0    0     0     0  258  182  2  1 97  0  0
 0  0      0 149388   5400 259196    0    0     0     0  257  167  1  1 98  0  0
 0  0      0 157336   5400 259204    0    0     0     0  255  156  2  1 97  0  0
 0  0      0 164076   5720 260660    0    0   981     0  274  261  0  2 98  0  0
 0  0      0 164076   5720 260660    0    0     0     0  252  138  1  0 99  0  0
 0  0      0 164076   5720 260660    0    0     0     0  255  144  1  0 99  0  0
 0  0      0 164076   5720 260660    0    0     0     0  253  141  0  0 100  0  0
 0  0      0 179592   5720 260668    0    0     0     0  251  172  1  1 98  0  0
 0  0      0 179592   5720 260668    0    0     0     0  252  141  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 179592   5720 260668    0    0     0     0  254  148  1  0 99  0  0
 0  0      0 179592   5720 260668    0    0     0     0  246  141  1  1 98  0  0
 0  0      0 179220   5856 261368    0    0   487     0  264  188  1  1 98  0  0
 0  0      0 179220   5856 261396    0    0     0     0  254  141  2  0 98  0  0
 0  0      0 179220   5856 261396    0    0     0     0  254  141  2  0 98  0  0
 0  0      0 179220   5856 261396    0    0     0     0  252  138  1  1 98  0  0
 0  0      0 179220   5856 261396    0    0     0     0  255  144  1  0 99  0  0
 0  0      0 179220   5856 261396    0    0     0     0  253  141  2  0 98  0  0
