procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 184660  15556 313208    0    0  6208     0  409 1174  4 16 80  0  0
30  0      0  76600  15796 314652    0    0   926     0  555 2183  7  5 88  0  0
44  0      0  49888   2408 254676    0    0  8627     0  622 2722 77 23  0  0  0
33  0      0  48780   2704 254912    0    0 10792     0  511 2161 76 24  0  0  0
 6  0      0  53244   2060 251588    0    0 20831     0  638 3679 51 49  0  0  0
 9  1      0  52252   2696 252296    0    0 48849     0 1587 9606  0 98  0  2  0
 1  2      0  50276   3080 254192    0    0 38339     0 1081 4823  1 98  0  1  0
 0  0      0  54592   2172 250760    0    0 28283     0  862 3700  1 91  6  2  0
 0  0      0  53380   2424 251788    0    0  4587     0  333  651  0 14 86  0  0
 0  0      0  51892   2636 252940    0    0   846     0  271  215  1  2 97  0  0
 1  0      0  50900   2812 253956    0    0   679     0  267  208  1  1 98  0  0
 0  0      0  50900   2812 253956    0    0     0     0  254  140  1  0 99  0  0
 0  0      0  50900   2812 253956    0    0     0     0  253  141  1  0 99  0  0
30  0      0  50900   2812 253956    0    0     0     0  297  285 57  0 43  0  0
31  0      0  50900   2812 253956    0    0     0     0  305  374 99  1  0  0  0
 0  0      0  50900   2812 253956    0    0     0     0  275  291 53  1 46  0  0
 0  0      0  50280   2868 254316    0    0   296     0  258  164  2  1 97  0  0
 1  0      0  51768   2780 253168    0    0  3919     0  340  599  1 17 82  0  0
 0  0      0  46064   3840 257700    0    0  8461     0  441 1202  0 28 71  1  0
 0  0      0  46064   3840 257700    0    0     0     0  256  141  1  0 99  0  0
 0  0      0  46064   3840 257700    0    0     0     0  254  142  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  52980   2548 251588    0    0   145     0  269  175  0  1 99  0  0
 0  0      0  55364   2340 249748    0    0   150     0  261  241  1  3 96  0  0
 0  0      0  52760   2828 251960    0    0  1401     0  283  293  1  3 96  0  0
 0  0      0  52760   2828 251960    0    0     0     0  252  141  1  0 99  0  0
30  0      0  52760   2828 251960    0    0     0     0  307  320 76  0 24  0  0
27  0      0  52264   2892 252364    0    0   320     0  311  415 99  1  0  0  0
 0  0      0  52264   2892 252352    0    0     0     0  270  233 34  1 65  0  0
 0  0      0  52264   2892 252352    0    0     0     0  253  139  1  0 99  0  0
 0  0      0  52264   2892 252352    0    0     0     0  255  149  1  0 99  0  0
 0  0      0  52264   2892 252352    0    0     0     0  253  140  2  0 98  0  0
 0  0      0  52264   2892 252352    0    0     0     0  255  146  2  0 98  0  0
 0  0      0  52264   2892 252352    0    0     0     0  255  138  1  1 98  0  0
 0  0      0  52264   2892 252352    0    0     0     0  255  144  2  1 97  0  0
 0  0      0  52264   2892 252352    0    0     0     0  252  137  0  0 100  0  0
 0  0      0  52264   2892 252352    0    0     0     0  254  147  2  0 98  0  0
 2  0      0  52264   2892 252352    0    0     0     0  262  168 22  0 78  0  0
26  0      0  52264   2892 252352    0    0     0     0  329  366 94  0  6  0  0
 0  0      0  51396   3028 253044    0    0   487     0  313  420 92  1  7  0  0
 0  0      0  51396   3028 253076    0    0     0     0  255  146  2  0 98  0  0
 0  0      0  51396   3028 253076    0    0     0     0  253  136  2  0 98  0  0
 0  0      0  51396   3028 253076    0    0     0     0  254  146  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  52884   1964 252688    0    0 19062     0  656 2220  1 55 43  1  0
 0  0      0  51892   2112 253500    0    0   504     0  267  264  0  4 96  0  0
 0  0      0  51892   2112 253500    0    0     0     0  252  142  1  0 99  0  0
 0  0      0  51892   2112 253504    0    0     0     0  255  143  0  1 99  0  0
 2  0      0  51396   2168 253864    0    0   296     0  265  165  8  2 89  0  0
 0  0      0  51396   2168 253880    0    0     0     0  265  181 20  0 80  0  0
23  0      0  51396   2168 253880    0    0     0     0  295  218 46  0 54  0  0
20  0      0  50156   2380 254996    0    0   826     0  311  447 98  2  0  0  0
 0  0      0  50156   2380 254996    0    0     0     0  272  243 38  0 62  0  0
 0  0      0  50156   2380 254996    0    0     0     0  254  145  0  0 100  0  0
 0  0      0  50156   2380 254996    0    0     0     0  248  140  1  1 98  0  0
 0  0      0  50156   2380 254996    0    0     0     0  253  146  0  0 100  0  0
 0  0      0  50156   2380 254996    0    0     0     0  252  141  2  0 98  0  0
 0  0      0  50156   2380 254996    0    0     0     0  254  144  1  0 99  0  0
 0  0      0  50156   2380 254996    0    0     0     0  260  139  8  1 91  0  0
 0  0      0  50156   2380 254996    0    0     0     0  266  186 21  0 79  0  0
 0  0      0  50156   2380 254996    0    0     0     0  261  151 20  0 80  0  0
 1  0      0  50156   2380 254996    0    0     0     0  267  150 17  1 82  0  0
18  0      0  50156   2380 254996    0    0     0     0  314  340 87  0 13  0  0
 0  0      0  50156   2380 254996    0    0     0     0  279  289 59  0 41  0  0
 0  0      0  50156   2380 254996    0    0     0     0  252  135  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  50156   2380 254996    0    0     0     0  254  144  1  0 99  0  0
 0  0      0  50156   2380 254996    0    0     0     0  252  141  2  0 98  0  0
 0  0      0  50156   2380 254996    0    0     0     0  255  146  1  1 98  0  0
 0  0      0  50156   2380 254996    0    0     0     0  256  144  7  0 93  0  0
 0  0      0  50156   2380 254996    0    0     0     0  266  174 21  0 79  0  0
 0  0      0  50156   2380 254996    0    0     0     0  264  166 23  0 77  0  0
 0  0      0  50156   2380 254996    0    0     0     0  267  151 16  0 84  0  0
 0  0      0  50156   2380 254996    0    0     0     0  262  140 22  0 78  0  0
