procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0  53820  15452 283752    0    0     0     0  286  294 62  0 38  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  152  5  0 95  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  147  1  1 98  0  0
 1  0      0  53820  15452 283752    0    0     0     0  253  138  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  255  144  1  1 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  139  0  0 100  0  0
 0  0      0  53820  15452 283752    0    0     0     0  254  147  2  0 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  140  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283752    0    0     0     0  255  144  1  1 98  0  0
 0  0      0  53820  15452 283752    0    0     0     0  258  141  8  0 92  0  0
 0  0      0  53820  15452 283752    0    0     0     0  256  148  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  294  289 61  0 39  0  0
 0  0      0  53820  15452 283752    0    0     0     0  256  146  0  1 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  253  138  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  257  145  1  0 99  0  0
 0  0      0  53820  15452 283752    0    0     0     0  252  137  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  144  1  0 99  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  140  1  1 98  0  0
 0  0      0  53820  15452 283756    0    0     0     0  254  146  0  0 100  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  140  7  0 93  0  0
 0  0      0  53820  15452 283756    0    0     0     0  255  143  2  0 98  0  0
 9  0      0  53820  15452 283756    0    0     0     0  279  245 44  1 55  0  0
 0  0      0  53820  15452 283756    0    0     0     0  258  196 21  0 79  0  0
 0  0      0  53820  15452 283756    0    0     0     0  252  140  1  0 99  0  0
